Locus Identifier	Gene Model Name	Gene Model Description	Gene Model Type	Primary Gene Symbol	All Gene Symbols
AT1G06145	obsolete				
AT1G21570	obsolete				
AT1G29610	obsolete				
AT1G29724	obsolete				
AT1G31060	obsolete				
AT1G55545	obsolete				
AT1G55780	obsolete				
AT1G58227	obsolete				
AT1G65445	obsolete				
AT1G69545	obsolete				
AT1G77215	obsolete				
AT2G04864	obsolete				
AT2G26547	obsolete				
AT3G03356 	obsolete				
AT3G10830	obsolete				
AT3G18540	obsolete				
AT3G22435	obsolete				
AT3G62895	obsolete				
AT3G63330	obsolete				
AT4G00058	obsolete				
AT4G16170	obsolete				
AT4G16805	obsolete				
AT4G19512	obsolete				
AT4G19515	obsolete				
AT4G38750	obsolete				
AT4G39440	obsolete				
AT4G39450	obsolete				
AT5G11120	obsolete				
AT5G22710	obsolete				
AT5G26870	obsolete				
AT5G37211	obsolete				
AT5G40451	obsolete				
AT5G47410	obsolete				
AT5G63634	obsolete				
RI_956	undefined				
RI_972	undefined				
RI_978	undefined				
RI_982	undefined				
RI_993	undefined				
RI_1033	undefined				
RI_1040	undefined				
pyruvate	undefined				
RI_1047	undefined				
2-hydroxibutyric Acid	undefined				
RI_1062	undefined				
glycolate	undefined				
RI_1076	undefined				
RI_1084	undefined				
Alanine	undefined				
Hexonic Acid	undefined				
RI_1152	undefined				
RI_1155	undefined				
RI_1158	undefined				
RI_1160	undefined				
RI_1161	undefined				
Monomethylphosphate	undefined				
RI_1182	undefined				
Valine	undefined				
RI_1215	undefined				
Urea	undefined				
RI_1251	undefined				
RI_1254	undefined				
Ethanolamine	undefined				
phosphate	undefined				
RI_1271	undefined				
RI_1276	undefined				
Hydroyxlamine	undefined				
RI_1291	undefined				
Proline	undefined				
RI_1299	undefined				
Glycine	undefined				
succinate	undefined				
glycerate	undefined				
RI_1329	undefined				
fumarate	undefined				
Serine	undefined				
Threonine	undefined				
(2-Hydroxyethyl)-methanamine	undefined				
RI_1435	undefined				
Malate	undefined				
RI_1493	undefined				
RI_1505	undefined				
aspartate	undefined				
methionine	undefined				
RI_1518	undefined				
pyroglutamate	undefined				
Gaba	undefined				
Acetylglutamic Acid	undefined				
RI_1539	undefined				
threonate	undefined				
RI_1551	undefined				
RI_1553	undefined				
RI_1555	undefined				
glutarate	undefined				
alfa-ketoglutaric acid	undefined				
RI_1578	undefined				
RI_1590	undefined				
MPIMP-ID:161001-44-1	undefined				
glutamate	undefined				
RI_1616	undefined				
phenylalanine	undefined				
RI_1624	undefined				
RI_1625	undefined				
RI_1628	undefined				
xylose	undefined				
MPIMP-ID:167005-21-1	undefined				
arabinose	undefined				
asparagine	undefined				
RI_1674	undefined				
Anhydroglucose	undefined				
RI_1698	undefined				
RI_1705	undefined				
RI_1707	undefined				
Putrescine	undefined				
pentanoic acid	undefined				
RI_1746	undefined				
D-Xylofuranose	undefined				
Pentonate	undefined				
Glutamine	undefined				
MPIMP-ID:177004-21-1	undefined				
RI_1793	undefined				
RI_1796	undefined				
RI_1800	undefined				
citrate	undefined				
RI_1815	undefined				
RI_1831	undefined				
dehydroascorbate	undefined				
Isoleucine	undefined				
Fructose 	undefined				
Sorbose	undefined				
Mannose	undefined				
Allantoin	undefined				
glucopyranose	undefined				
Glucose	undefined				
Galactose	undefined				
lysine	undefined				
gulonate	undefined				
glucuronate	undefined				
Tyrosine	undefined				
ascorbate	undefined				
MPIMP-ID:196006-21-1	undefined				
MPIMP-ID:197003-21-1	undefined				
MPIMP-ID:199004-21-1	undefined				
MPIMP-ID:199004-21-1_2	undefined				
Gluconate	undefined				
Mannitol	undefined				
MPIMP-ID:202002-21-1	undefined				
MPIMP-ID:207003	undefined				
RI_2048	undefined				
MPIMP-ID:207003-21-1	undefined				
RI_2072	undefined				
inositol	undefined				
RI_2166	undefined				
RI_2175	undefined				
RI_2184	undefined				
sinapinate	undefined				
fructose-6-p	undefined				
glucose-6-p	undefined				
RI_2316	undefined				
RI_2353	undefined				
RI_2364	undefined				
RI_2395	undefined				
RI_2414	undefined				
RI_2446	undefined				
Glycerol	undefined				
RI_2506	undefined				
RI_2512	undefined				
RI_2545	undefined				
RI_2574	undefined				
RI_2587	undefined				
Sucrose	undefined				
RI_2613	undefined				
RI_2628	undefined				
RI_2681	undefined				
RI_2699	undefined				
Maltose	undefined				
RI_2793	undefined				
RI_2817	undefined				
RI_2819	undefined				
RI_2875	undefined				
RI_2878	undefined				
RI_2905	undefined				
MPIMP-ID:296004-23-1	undefined				
Galactinol	undefined				
RI_2964	undefined				
RI_2968	undefined				
RI_2970	undefined				
RI_2983	undefined				
RI_3027	undefined				
Trehalose	undefined				
RI_3066	undefined				
RI_3078	undefined				
digalactosylglycerol	undefined				
RI_3083	undefined				
RI_3105	undefined				
RI_3145	undefined				
RI_3201	undefined				
RI_3203	undefined				
RI_3315	undefined				
raffinose	undefined				
RI_3455	undefined				
